Node,CST,Tx power,IP address,x,y,z
9,-82,0,10.1.5.2,30.9676,5.78739,1.5
10,-82,0,10.1.6.1,3.69137,20.8784,1.5
11,-82,0,10.1.6.2,4.45547,17.9774,1.5
12,-82,0,10.1.7.1,44.5612,30.8682,1.5
13,-82,0,10.1.7.2,44.9149,33.8472,1.5
14,-82,0,10.1.8.1,37.7987,14.9961,1.5
15,-82,0,10.1.8.2,36.7677,12.1788,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,20.3439,6.00438,1.5
1,-82,0,10.1.1.2,17.3447,6.07557,1.5
2,-82,0,10.1.2.1,16.9984,7.73787,1.5
3,-82,0,10.1.2.2,16.4549,10.6882,1.5
4,-82,0,10.1.3.1,10.1344,29.5256,1.5
5,-82,0,10.1.3.2,12.1462,27.3001,1.5
6,-82,0,10.1.4.1,39.379,31.5761,1.5
7,-82,0,10.1.4.2,37.1246,29.5968,1.5
8,-82,0,10.1.5.1,33.2173,8.59763,1.5
9,-82,0,10.1.5.2,32.3764,11.4774,1.5
10,-82,0,10.1.6.1,32.2765,5.86898,1.5
11,-82,0,10.1.6.2,32.5173,8.8593,1.5
12,-82,0,10.1.7.1,8.55111,45.5492,1.5
13,-82,0,10.1.7.2,11.5409,45.7962,1.5
14,-82,0,10.1.8.1,12.8371,4.80839,1.5
15,-82,0,10.1.8.2,14.9135,2.64308,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,9.84472,44.6483,1.5
1,-82,0,10.1.1.2,10.0132,47.6435,1.5
2,-82,0,10.1.2.1,37.9207,38.1986,1.5
3,-82,0,10.1.2.2,38.8503,41.051,1.5
4,-82,0,10.1.3.1,33.1662,28.0992,1.5
5,-82,0,10.1.3.2,31.0845,30.2593,1.5
6,-82,0,10.1.4.1,6.1297,13.0024,1.5
7,-82,0,10.1.4.2,3.20589,13.6742,1.5
8,-82,0,10.1.5.1,37.3471,29.8223,1.5
9,-82,0,10.1.5.2,38.3954,27.0114,1.5
10,-82,0,10.1.6.1,45.9887,31.5649,1.5
11,-82,0,10.1.6.2,47.6053,34.0921,1.5
12,-82,0,10.1.7.1,38.3432,3.05481,1.5
13,-82,0,10.1.7.2,35.5185,2.04449,1.5
14,-82,0,10.1.8.1,15.5043,28.174,1.5
15,-82,0,10.1.8.2,15.7045,25.1807,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,34.7965,46.5894,1.5
1,-82,0,10.1.1.2,37.7516,47.1062,1.5
2,-82,0,10.1.2.1,29.6482,37.5589,1.5
3,-82,0,10.1.2.2,26.6705,37.1945,1.5
4,-82,0,10.1.3.1,22.1954,25.3632,1.5
5,-82,0,10.1.3.2,24.5441,23.4968,1.5
6,-82,0,10.1.4.1,43.4385,39.0894,1.5
