Node,CST,Tx power,IP address,x,y,z
50,-82,0,10.1.26.1,11.999,24.7948,1.5
51,-82,0,10.1.26.2,12.7452,24.1291,1.5
52,-82,0,10.1.27.1,17.8932,25.5813,1.5
53,-82,0,10.1.27.2,18.4825,26.3892,1.5
54,-82,0,10.1.28.1,67.6349,89.4341,1.5
55,-82,0,10.1.28.2,68.5099,89.9183,1.5
56,-82,0,10.1.29.1,56.3262,40.8147,1.5
57,-82,0,10.1.29.2,57.2739,41.1341,1.5
58,-82,0,10.1.30.1,94.4332,71.2381,1.5
59,-82,0,10.1.30.2,94.676,72.2082,1.5
60,-82,0,10.1.31.1,33.2795,96.6132,1.5
61,-82,0,10.1.31.2,33.4584,97.5971,1.5
62,-82,0,10.1.32.1,6.75996,51.2937,1.5
63,-82,0,10.1.32.2,6.06802,52.0156,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,7.77214,98.1937,1.5
1,-82,0,10.1.1.2,7.09743,98.9318,1.5
2,-82,0,10.1.2.1,33.2409,21.1339,1.5
3,-82,0,10.1.2.2,33.1123,22.1256,1.5
4,-82,0,10.1.3.1,88.4979,53.8281,1.5
5,-82,0,10.1.3.2,88.1328,52.8971,1.5
6,-82,0,10.1.4.1,23.1997,22.1611,1.5
7,-82,0,10.1.4.2,22.7676,23.063,1.5
8,-82,0,10.1.5.1,19.8661,51.9522,1.5
9,-82,0,10.1.5.2,20.5948,52.637,1.5
10,-82,0,10.1.6.1,84.2496,79.3174,1.5
11,-82,0,10.1.6.2,84.8203,80.1386,1.5
12,-82,0,10.1.7.1,78.2629,96.6366,1.5
13,-82,0,10.1.7.2,77.7198,95.797,1.5
14,-82,0,10.1.8.1,70.5883,4.68499,1.5
15,-82,0,10.1.8.2,70.1103,5.56335,1.5
16,-82,0,10.1.9.1,40.3441,77.8998,1.5
17,-82,0,10.1.9.2,39.382,78.1725,1.5
18,-82,0,10.1.10.1,6.25907,29.4443,1.5
19,-82,0,10.1.10.2,5.43393,30.0092,1.5
20,-82,0,10.1.11.1,60.9826,69.2838,1.5
21,-82,0,10.1.11.2,60.9667,68.2839,1.5
22,-82,0,10.1.12.1,96.5639,86.8853,1.5
23,-82,0,10.1.12.2,96.7686,87.8641,1.5
24,-82,0,10.1.13.1,50.5602,49.7278,1.5
25,-82,0,10.1.13.2,49.7798,49.1025,1.5
26,-82,0,10.1.14.1,29.1582,81.8724,1.5
27,-82,0,10.1.14.2,28.3421,82.4503,1.5
28,-82,0,10.1.15.1,78.2007,71.6586,1.5
29,-82,0,10.1.15.2,78.0164,72.6415,1.5
30,-82,0,10.1.16.1,34.847,52.8621,1.5
31,-82,0,10.1.16.2,34.5398,51.9104,1.5
32,-82,0,10.1.17.1,98.3339,86.1783,1.5
33,-82,0,10.1.17.2,98.4969,85.1917,1.5
34,-82,0,10.1.18.1,48.9528,31.0878,1.5
35,-82,0,10.1.18.2,48.6591,30.1319,1.5
36,-82,0,10.1.19.1,22.2576,1.04376,1.5
37,-82,0,10.1.19.2,21.2623,0.947459,1.5
38,-82,0,10.1.20.1,43.0729,19.4301,1.5
39,-82,0,10.1.20.2,42.1601,19.0217,1.5
40,-82,0,10.1.21.1,44.2772,8.01293,1.5
41,-82,0,10.1.21.2,43.3752,8.44475,1.5
42,-82,0,10.1.22.1,11.0566,27.271,1.5
43,-82,0,10.1.22.2,11.1934,28.2616,1.5
44,-82,0,10.1.23.1,73.322,68.5723,1.5
45,-82,0,10.1.23.2,72.9321,69.4931,1.5
46,-82,0,10.1.24.1,58.6048,27.0757,1.5
47,-82,0,10.1.24.2,57.6055,27.0381,1.5
48,-82,0,10.1.25.1,31.4231,76.5749,1.5
49,-82,0,10.1.25.2,31.284,75.5846,1.5
50,-82,0,10.1.26.1,59.7864,10.6102,1.5
51,-82,0,10.1.26.2,60.6441,10.0959,1.5
52,-82,0,10.1.27.1,23.7532,80.819,1.5
53,-82,0,10.1.27.2,22.8623,81.2731,1.5
54,-82,0,10.1.28.1,22.763,77.6153,1.5
55,-82,0,10.1.28.2,23.4007,78.3856,1.5
56,-82,0,10.1.29.1,13.071,82.975,1.5
57,-82,0,10.1.29.2,14.0709,82.9642,1.5
58,-82,0,10.1.30.1,37.8247,60.875,1.5
59,-82,0,10.1.30.2,38.7613,61.2253,1.5
60,-82,0,10.1.31.1,72.6417,45.1545,1.5
61,-82,0,10.1.31.2,72.2505,44.2342,1.5
62,-82,0,10.1.32.1,53.823,6.59472,1.5
63,-82,0,10.1.32.2,54.4475,7.37573,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,76.2508,25.4315,1.5
1,-82,0,10.1.1.2,76.2808,24.4319,1.5
2,-82,0,10.1.2.1,14.9363,2.66266,1.5
3,-82,0,10.1.2.2,15.1125,3.64701,1.5
4,-82,0,10.1.3.1,80.9823,56.823,1.5
5,-82,0,10.1.3.2,81.9265,57.1523,1.5
6,-82,0,10.1.4.1,7.5945,36.1464,1.5
7,-82,0,10.1.4.2,8.272,36.8819,1.5
8,-82,0,10.1.5.1,41.1613,70.888,1.5
9,-82,0,10.1.5.2,40.6767,71.7627,1.5
10,-82,0,10.1.6.1,73.2919,53.1911,1.5
11,-82,0,10.1.6.2,74.2617,52.9469,1.5
12,-82,0,10.1.7.1,89.9823,6.77807,1.5
13,-82,0,10.1.7.2,89.7528,7.7514,1.5
14,-82,0,10.1.8.1,95.3525,68.2618,1.5
