Node,CST,Tx power,IP address,x,y,z
38,-82,23,10.1.20.1,94.7173,13.7522,1.5
39,-82,15,10.1.20.2,91.9788,12.5271,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,6.07146,3.9972,1.5
1,-82,15,10.1.1.2,6.16136,0.99855,1.5
2,-82,23,10.1.2.1,13.5688,3.06786,1.5
3,-82,15,10.1.2.2,14.0973,6.02094,1.5
4,-82,23,10.1.3.1,26.2646,5.27849,1.5
5,-82,15,10.1.3.2,29.0972,6.26652,1.5
6,-82,23,10.1.4.1,33.2692,4.43455,1.5
7,-82,15,10.1.4.2,35.3017,6.6411,1.5
8,-82,23,10.1.5.1,44.6392,5.85257,1.5
9,-82,15,10.1.5.2,43.1854,8.47676,1.5
10,-82,23,10.1.6.1,55.9507,5.13025,1.5
11,-82,15,10.1.6.2,58.8599,4.3976,1.5
12,-82,23,10.1.7.1,66.6319,3.23584,1.5
13,-82,15,10.1.7.2,65.9436,6.15581,1.5
14,-82,23,10.1.8.1,76.8511,5.74538,1.5
15,-82,15,10.1.8.2,77.8085,2.90223,1.5
16,-82,23,10.1.9.1,84.9614,6.09031,1.5
17,-82,15,10.1.9.2,87.229,4.12617,1.5
18,-82,23,10.1.10.1,95.1341,4.20955,1.5
19,-82,15,10.1.10.2,93.7843,6.88874,1.5
20,-82,23,10.1.11.1,4.10777,15.5929,1.5
21,-82,15,10.1.11.2,1.8727,13.5917,1.5
22,-82,23,10.1.12.1,15.6964,14.4272,1.5
23,-82,15,10.1.12.2,15.0935,17.366,1.5
24,-82,23,10.1.13.1,25.2332,15.8955,1.5
25,-82,15,10.1.13.2,25.1094,12.8981,1.5
26,-82,23,10.1.14.1,34.0559,13.759,1.5
27,-82,15,10.1.14.2,31.7988,15.7352,1.5
28,-82,23,10.1.15.1,44.5844,16.5063,1.5
29,-82,15,10.1.15.2,47.5744,16.7513,1.5
30,-82,23,10.1.16.1,55.146,16.3454,1.5
31,-82,15,10.1.16.2,57.2038,14.1624,1.5
32,-82,23,10.1.17.1,64.9288,14.7743,1.5
33,-82,15,10.1.17.2,67.8541,14.1089,1.5
34,-82,23,10.1.18.1,76.561,16.21,1.5
35,-82,15,10.1.18.2,79.5262,16.6654,1.5
36,-82,23,10.1.19.1,83.9994,16.3371,1.5
37,-82,15,10.1.19.2,86.6408,14.9146,1.5
38,-82,23,10.1.20.1,96.6434,15.5473,1.5
39,-82,15,10.1.20.2,97.7533,12.7601,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,5.11558,3.46188,1.5
1,-82,15,10.1.1.2,3.4689,0.954198,1.5
2,-82,23,10.1.2.1,15.8131,4.33461,1.5
3,-82,15,10.1.2.2,14.5058,7.03478,1.5
4,-82,23,10.1.3.1,25.391,5.53406,1.5
5,-82,15,10.1.3.2,22.8145,7.07079,1.5
6,-82,23,10.1.4.1,35.4002,5.99249,1.5
7,-82,15,10.1.4.2,35.44,2.99275,1.5
8,-82,23,10.1.5.1,43.624,4.46359,1.5
9,-82,15,10.1.5.2,41.2822,2.5885,1.5
10,-82,23,10.1.6.1,55.6754,3.28906,1.5
11,-82,15,10.1.6.2,57.3009,5.81053,1.5
12,-82,23,10.1.7.1,64.1187,6.92883,1.5
13,-82,15,10.1.7.2,61.1783,7.52405,1.5
14,-82,23,10.1.8.1,75.2328,3.72159,1.5
15,-82,15,10.1.8.2,77.2792,1.52795,1.5
16,-82,23,10.1.9.1,84.4799,4.68625,1.5
17,-82,15,10.1.9.2,87.0042,6.3074,1.5
18,-82,23,10.1.10.1,96.5857,4.58239,1.5
19,-82,15,10.1.10.2,97.9769,1.92445,1.5
20,-82,23,10.1.11.1,3.59363,15.7436,1.5
21,-82,15,10.1.11.2,6.02295,13.9834,1.5
22,-82,23,10.1.12.1,14.9166,13.3868,1.5
23,-82,15,10.1.12.2,15.1127,10.3932,1.5
24,-82,23,10.1.13.1,23.4308,16.4109,1.5
25,-82,15,10.1.13.2,24.667,13.6775,1.5
26,-82,23,10.1.14.1,35.4846,16.6854,1.5
27,-82,15,10.1.14.2,37.1837,19.1579,1.5
28,-82,23,10.1.15.1,43.4154,14.0486,1.5
29,-82,15,10.1.15.2,40.4212,14.2348,1.5
30,-82,23,10.1.16.1,53.2223,15.6285,1.5
31,-82,15,10.1.16.2,51.4647,13.1972,1.5
32,-82,23,10.1.17.1,63.0232,16.5971,1.5
33,-82,15,10.1.17.2,65.9766,17.1236,1.5
34,-82,23,10.1.18.1,76.1295,15.3848,1.5
35,-82,15,10.1.18.2,76.9894,12.5107,1.5
36,-82,23,10.1.19.1,86.9106,13.3076,1.5
37,-82,15,10.1.19.2,84.0987,14.3533,1.5
38,-82,23,10.1.20.1,93.9293,16.5378,1.5
39,-82,15,10.1.20.2,91.1379,15.4386,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,6.46133,3.20651,1.5
1,-82,15,10.1.1.2,8.39573,0.913457,1.5
2,-82,23,10.1.2.1,15.2277,4.45565,1.5
3,-82,15,10.1.2.2,16.5023,7.17143,1.5
4,-82,23,10.1.3.1,24.8012,4.21429,1.5
5,-82,15,10.1.3.2,23.7837,1.39213,1.5
6,-82,23,10.1.4.1,35.5796,6.74721,1.5
7,-82,15,10.1.4.2,34.7681,3.85904,1.5
8,-82,23,10.1.5.1,44.9507,5.12185,1.5
9,-82,15,10.1.5.2,47.9399,5.37617,1.5
10,-82,23,10.1.6.1,53.7156,5.05111,1.5
11,-82,15,10.1.6.2,52.9692,7.95676,1.5
12,-82,23,10.1.7.1,66.6023,4.49223,1.5
13,-82,15,10.1.7.2,68.6846,6.65187,1.5
14,-82,23,10.1.8.1,74.3788,3.56004,1.5
15,-82,15,10.1.8.2,75.3859,0.734115,1.5
16,-82,23,10.1.9.1,86.3011,6.06061,1.5
17,-82,15,10.1.9.2,85.104,3.30979,1.5
18,-82,23,10.1.10.1,95.2689,4.93124,1.5
19,-82,15,10.1.10.2,98.0802,5.97823,1.5
20,-82,23,10.1.11.1,4.89683,14.1394,1.5
21,-82,15,10.1.11.2,3.76348,16.917,1.5
22,-82,23,10.1.12.1,13.1665,13.3726,1.5
23,-82,15,10.1.12.2,11.5091,10.872,1.5
24,-82,23,10.1.13.1,25.762,15.1241,1.5
25,-82,15,10.1.13.2,22.7623,15.0794,1.5
26,-82,23,10.1.14.1,33.3848,13.8174,1.5
27,-82,15,10.1.14.2,36.0714,15.1524,1.5
28,-82,23,10.1.15.1,44.4063,13.98,1.5
29,-82,15,10.1.15.2,41.7372,15.3497,1.5
30,-82,23,10.1.16.1,54.9897,13.8798,1.5
31,-82,15,10.1.16.2,57.7299,15.1009,1.5
32,-82,23,10.1.17.1,63.4281,15.2979,1.5
33,-82,15,10.1.17.2,60.4348,15.4994,1.5
34,-82,23,10.1.18.1,73.1874,13.4111,1.5
35,-82,15,10.1.18.2,76.1266,14.0118,1.5
36,-82,23,10.1.19.1,84.9071,16.8442,1.5
37,-82,15,10.1.19.2,84.31,19.7842,1.5
38,-82,23,10.1.20.1,93.7838,13.5293,1.5
39,-82,15,10.1.20.2,90.877,14.2713,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,3.43245,5.3363,1.5
